Renda familiar disponible bruta (RFDB). Índex. Comarques i àmbits
2006
Font: Idescat.
Nota: Base 2000.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=200600
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant
Alt Camp,645236,15.4,98.7
Alt Empordà,2089896,16.5,105.6
Alt Penedès,1490091,15.2,97.4
Alt Urgell,321715,15.0,96.1
Alta Ribagorça,68166,16.6,106.4
Anoia,1582861,14.3,91.7
Bages,2657083,15.2,97.1
Baix Camp,2670527,15.1,96.6
Baix Ebre,1172376,15.1,96.8
Baix Empordà,2040743,16.3,104.2
Baix Llobregat,10750315,14.0,89.3
Baix Penedès,1321459,15.0,95.7
Barcelonès,36210561,16.3,104.3
Berguedà,635859,15.8,101.0
Cerdanya,315229,18.0,115.3
Conca de Barberà,335599,16.3,104.5
Garraf,2033960,15.1,96.6
Garrigues,332731,16.6,106.4
Garrotxa,919601,17.3,110.6
Gironès,2939811,17.5,112.0
Maresme,6630051,16.1,103.0
Montsià,989340,14.9,95.0
Noguera,611726,15.9,101.6
Osona,2187619,14.9,95.5
Pallars Jussà,225843,17.3,110.6
Pallars Sobirà,129950,18.2,116.6
Pla d'Urgell,544106,15.7,100.7
Pla de l'Estany,502808,17.5,112.0
Priorat,154341,15.8,100.8
Ribera d'Ebre,359500,15.5,99.2
Ripollès,473939,17.9,114.5
Segarra,342283,15.7,100.7
Segrià,3119901,16.5,105.6
Selva,2327065,15.1,96.3
Solsonès,215441,16.3,104.2
Tarragonès,3495322,15.4,98.6
Terra Alta,209971,16.5,105.6
Urgell,598045,17.2,109.8
Val d'Aran,192040,19.8,126.8
Vallès Occidental,12727116,15.1,96.8
Vallès Oriental,5560538,14.9,95.0
Catalunya,112130761,15.6,100.0
Metropolità,75402632,15.6,99.5
Comarques Gironines,11293861,16.5,105.8
Camp de Tarragona,8622484,15.3,97.8
Terres de l'Ebre,2731187,15.2,97.1
Ponent,5548791,16.4,104.8
Comarques Centrals,7278863,15.0,95.9
Alt Pirineu i Aran,1252943,17.2,110.0

