"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2017
Font: Idescat. Renda familiar disponible bruta territorial.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201700
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,669330,15.2,87.9
Alt Empordà,1907086,13.9,80.8
Alt Penedès,1714730,16.0,92.8
Alt Urgell,273172,13.5,78.3
Alta Ribagorça,58770,15.4,89.0
Anoia,1814926,15.3,88.5
Aran,148321,15.0,87.1
Bages,2844538,16.3,94.6
Baix Camp,2820257,14.9,86.3
Baix Ebre,1030000,13.3,77.1
Baix Empordà,1878693,14.3,83.1
Baix Llobregat,14502529,17.9,103.7
Baix Penedès,1398918,13.8,80.1
Barcelonès,43513856,19.5,112.9
Berguedà,647832,16.6,96.3
Cerdanya,257518,14.5,84.1
Conca de Barberà,309763,15.5,89.5
Garraf,2532020,17.3,100.5
Garrigues,257308,13.6,78.7
Garrotxa,924967,16.7,96.8
Gironès,3035157,16.4,95.1
Maresme,7598082,17.3,100.0
Moianès,215456,16.2,94.1
Montsià,827341,12.2,70.5
Noguera,514357,13.4,77.9
Osona,2651338,17.0,98.6
Pallars Jussà,185836,14.3,82.8
Pallars Sobirà,101126,14.7,84.9
Pla d'Urgell,517814,14.0,81.3
Pla de l'Estany,515500,16.3,94.2
Priorat,129394,14.0,81.0
Ribera d'Ebre,319059,14.6,84.8
Ripollès,428368,17.2,99.7
Segarra,315244,14.1,81.5
Segrià,3127829,15.3,88.6
Selva,2343819,14.1,81.8
Solsonès,190355,14.1,81.7
Tarragonès,3760914,14.9,86.4
Terra Alta,155782,13.6,78.7
Urgell,506939,14.1,81.7
Vallès Occidental,16065952,17.6,102.1
Vallès Oriental,6820438,16.9,97.9
Catalunya,129830636,17.3,100.0
Metropolità,88563697,18.4,106.8
Comarques Gironines,11033590,15.1,87.5
Camp de Tarragona,7689657,14.9,86.5
Terres de l'Ebre,2332181,13.1,75.6
Ponent,5239491,14.7,85.0
Comarques Centrals,6486681,16.6,95.9
Alt Pirineu i Aran,1024744,14.3,83.0
Penedès,7460594,15.8,91.4

