Renda familiar disponible bruta (RFDB). Índex. Comarques i àmbits
2007
Font: Idescat.
Nota: Base 2000.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=200700
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant
Alt Camp,679454,15.7,96.0
Alt Empordà,2205472,16.7,102.2
Alt Penedès,1632647,16.3,99.8
Alt Urgell,343317,15.8,96.8
Alta Ribagorça,73778,17.5,107.0
Anoia,1713464,15.1,92.8
Bages,2863033,16.0,98.0
Baix Camp,2819359,15.3,94.0
Baix Ebre,1239696,15.5,95.1
Baix Empordà,2096032,16.3,99.9
Baix Llobregat,11428715,14.7,90.2
Baix Penedès,1436318,15.4,94.4
Barcelonès,37975110,17.1,104.7
Berguedà,687365,16.8,102.8
Cerdanya,326731,18.0,110.1
Conca de Barberà,352919,16.9,103.3
Garraf,2207243,16.0,97.8
Garrigues,361285,17.9,109.8
Garrotxa,938921,17.4,106.6
Gironès,2983844,17.3,106.1
Maresme,7104866,17.0,104.4
Montsià,1061199,15.3,93.7
Noguera,661376,16.9,103.8
Osona,2331997,15.7,96.2
Pallars Jussà,240742,17.7,108.6
Pallars Sobirà,136832,18.7,114.6
Pla d'Urgell,588238,16.6,101.5
Pla de l'Estany,498649,17.0,104.4
Priorat,161729,16.5,100.9
Ribera d'Ebre,367762,15.6,95.6
Ripollès,474146,17.8,108.9
Segarra,373850,17.0,104.1
Segrià,3382099,17.4,106.9
Selva,2465142,15.3,93.8
Solsonès,233726,17.3,105.8
Tarragonès,3764351,15.9,97.6
Terra Alta,219586,17.2,105.2
Urgell,648651,18.3,111.9
Val d'Aran,203744,20.4,124.9
Vallès Occidental,13623220,15.9,97.8
Vallès Oriental,5961955,15.6,95.7
Catalunya,118868563,16.3,100.0
Metropolità,79933757,16.3,100.2
Comarques Gironines,11662205,16.6,101.5
Camp de Tarragona,9214130,15.7,96.1
Terres de l'Ebre,2888243,15.5,95.3
Ponent,6015499,17.4,106.5
Comarques Centrals,7829586,15.8,96.9
Alt Pirineu i Aran,1325144,17.6,108.2

