"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2012
Font: Idescat. Renda familiar disponible bruta territorial.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201200
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,625839,14.0,88.1
Alt Empordà,1663163,12.0,75.8
Alt Penedès,1628974,15.4,97.3
Alt Urgell,265155,12.6,79.6
Alta Ribagorça,59262,14.4,91.2
Anoia,1695834,14.3,90.6
Aran,132414,13.3,83.9
Bages,2681888,15.2,96.3
Baix Camp,2598588,13.5,85.6
Baix Ebre,980613,12.1,76.5
Baix Empordà,1699585,12.9,81.4
Baix Llobregat,13235192,16.5,104.4
Baix Penedès,1333587,13.3,83.9
Barcelonès,39629880,17.8,112.4
Berguedà,638675,15.7,98.9
Cerdanya,244658,13.1,83.0
Conca de Barberà,293409,14.0,88.6
Garraf,2219787,15.3,96.8
Garrigues,255816,12.8,80.9
Garrotxa,834803,15.1,95.4
Gironès,2676758,14.7,92.9
Maresme,6819971,15.7,99.4
Moianès,203665,15.7,99.1
Montsià,801696,11.3,71.5
Noguera,498338,12.6,79.3
Osona,2351803,15.3,96.8
Pallars Jussà,187899,13.7,86.3
Pallars Sobirà,98571,13.5,85.2
Pla d'Urgell,482246,13.1,82.5
Pla de l'Estany,462357,14.8,93.2
Priorat,124878,12.7,80.5
Ribera d'Ebre,320892,13.9,87.6
Ripollès,408293,15.7,99.0
Segarra,315558,13.7,86.4
Segrià,2889943,14.0,88.3
Selva,2139252,12.6,79.5
Solsonès,181510,13.3,84.2
Tarragonès,3552386,14.2,90.0
Terra Alta,156974,12.6,79.9
Urgell,479349,13.1,82.7
Vallès Occidental,14551038,16.3,102.7
Vallès Oriental,6259045,15.8,99.5
Catalunya,118679542,15.8,100.0
Metropolità,80558526,16.9,107.0
Comarques Gironines,9884211,13.4,85.0
Camp de Tarragona,7195099,13.9,88.0
Terres de l'Ebre,2260174,12.1,76.2
Ponent,4921250,13.6,85.6
Comarques Centrals,5994140,15.3,96.3
Alt Pirineu i Aran,987959,13.2,83.4
Penedès,6878181,14.7,92.6

