"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2010
Font: Idescat. Renda familiar disponible bruta territorial.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201000
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,652392,14.5,86.5
Alt Empordà,1800807,13.0,77.6
Alt Penedès,1716074,16.4,97.5
Alt Urgell,285574,13.2,78.6
Alta Ribagorça,64835,15.3,91.1
Anoia,1749742,14.8,88.3
Aran,139822,13.8,82.5
Bages,2795609,15.9,94.6
Baix Camp,2761233,14.5,86.5
Baix Ebre,1065257,13.0,77.7
Baix Empordà,1847052,14.0,83.6
Baix Llobregat,13659727,17.2,102.2
Baix Penedès,1403851,14.1,84.0
Barcelonès,42648230,19.1,113.5
Berguedà,648885,15.6,93.1
Cerdanya,261182,14.2,84.4
Conca de Barberà,307526,14.5,86.5
Garraf,2382760,16.6,98.7
Garrigues,265873,13.2,78.6
Garrotxa,859836,15.6,92.7
Gironès,2892356,16.0,95.3
Maresme,7235391,16.8,100.0
Moianès,207409,16.1,95.8
Montsià,850568,11.9,71.0
Noguera,517669,13.0,77.5
Osona,2398948,15.7,93.4
Pallars Jussà,200570,14.3,85.3
Pallars Sobirà,104774,14.0,83.3
Pla d'Urgell,508964,13.8,82.0
Pla de l'Estany,479637,15.6,92.8
Priorat,132163,13.2,78.9
Ribera d'Ebre,333581,14.2,84.6
Ripollès,423287,16.0,95.4
Segarra,319745,13.9,82.7
Segrià,3085141,15.0,89.6
Selva,2212387,13.1,78.0
Solsonès,187025,13.6,80.9
Tarragonès,3756115,15.3,91.5
Terra Alta,161318,12.7,75.7
Urgell,505024,13.6,81.1
Vallès Occidental,15218534,17.2,102.3
Vallès Oriental,6467002,16.5,98.1
Catalunya,125513875,16.8,100.0
Metropolità,85291673,18.0,107.0
Comarques Gironines,10515362,14.4,85.6
Camp de Tarragona,7609429,14.9,88.7
Terres de l'Ebre,2410724,12.7,75.9
Ponent,5202415,14.4,85.6
Comarques Centrals,6175088,15.7,93.5
Alt Pirineu i Aran,1056757,13.9,82.9
Penedès,7252427,15.5,92.7

