"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2013
Font: Idescat. Renda familiar disponible bruta territorial.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201300
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,621401,13.9,88.1
Alt Empordà,1676066,12.2,77.0
Alt Penedès,1612187,15.3,96.4
Alt Urgell,260979,12.5,79.0
Alta Ribagorça,58818,14.7,93.2
Anoia,1643875,14.0,88.2
Aran,131226,13.2,83.7
Bages,2628393,15.0,95.1
Baix Camp,2602345,13.6,86.2
Baix Ebre,970873,12.1,76.6
Baix Empordà,1695133,12.9,81.6
Baix Llobregat,13152787,16.5,104.0
Baix Penedès,1312691,13.1,83.1
Barcelonès,39653571,18.0,113.5
Berguedà,622001,15.5,98.0
Cerdanya,243806,13.4,84.5
Conca de Barberà,291888,14.1,89.2
Garraf,2201196,15.3,96.6
Garrigues,258425,13.1,82.7
Garrotxa,829600,15.0,95.1
Gironès,2666934,14.7,92.9
Maresme,6754271,15.6,98.7
Moianès,193653,15.0,94.5
Montsià,781083,11.2,70.6
Noguera,501496,12.8,80.8
Osona,2332889,15.3,96.5
Pallars Jussà,187765,14.1,88.9
Pallars Sobirà,97300,13.5,85.3
Pla d'Urgell,483862,13.2,83.3
Pla de l'Estany,461829,14.7,93.1
Priorat,123873,12.9,81.5
Ribera d'Ebre,320450,14.1,88.9
Ripollès,406185,15.8,99.6
Segarra,305322,13.4,84.6
Segrià,2896785,14.1,88.9
Selva,2119760,12.6,79.4
Solsonès,183281,13.6,85.7
Tarragonès,3525307,14.2,89.4
Terra Alta,154713,12.7,80.4
Urgell,476800,13.1,82.8
Vallès Occidental,14357830,16.1,101.5
Vallès Oriental,6177834,15.6,98.4
Catalunya,117976482,15.8,100.0
Metropolità,80157010,16.9,107.0
Comarques Gironines,9855507,13.5,85.2
Camp de Tarragona,7164814,13.9,88.0
Terres de l'Ebre,2227118,12.0,76.1
Ponent,4922690,13.6,86.2
Comarques Centrals,5899500,15.1,95.6
Alt Pirineu i Aran,979894,13.3,84.2
Penedès,6769949,14.5,91.6

