"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2018
Font: Idescat. Renda familiar disponible bruta territorial.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201800
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,688301,15.5,88.9
Alt Empordà,1979795,14.4,82.4
Alt Penedès,1765260,16.3,93.4
Alt Urgell,276807,13.7,78.4
Alta Ribagorça,57457,15.1,86.1
Anoia,1864610,15.5,88.9
Aran,156384,15.8,90.2
Bages,2925665,16.6,95.2
Baix Camp,2914660,15.3,87.2
Baix Ebre,1068042,13.8,79.1
Baix Empordà,1928795,14.6,83.7
Baix Llobregat,14800050,18.1,103.8
Baix Penedès,1475790,14.3,81.7
Barcelonès,44173954,19.6,112.2
Berguedà,660588,16.9,96.5
Cerdanya,274017,15.3,87.6
Conca de Barberà,313805,15.7,90.0
Garraf,2611108,17.7,101.5
Garrigues,262172,13.9,79.4
Garrotxa,942198,16.8,96.2
Gironès,3078923,16.4,94.0
Maresme,7827081,17.6,100.7
Moianès,224601,16.8,95.8
Montsià,869417,12.8,73.0
Noguera,522148,13.7,78.1
Osona,2685229,17.0,97.4
Pallars Jussà,185794,14.4,82.2
Pallars Sobirà,103587,15.0,85.9
Pla d'Urgell,528576,14.3,81.7
Pla de l'Estany,526598,16.5,94.3
Priorat,132115,14.4,82.1
Ribera d'Ebre,319564,14.7,84.3
Ripollès,422501,17.0,97.0
Segarra,323487,14.4,82.1
Segrià,3207762,15.6,89.3
Selva,2439236,14.6,83.3
Solsonès,201741,14.9,85.0
Tarragonès,3881559,15.2,86.9
Terra Alta,157682,13.9,79.3
Urgell,515950,14.2,81.4
Vallès Occidental,16295712,17.7,101.3
Vallès Oriental,7002952,17.2,98.4
Catalunya,132591673,17.5,100.0
Metropolità,90167835,18.6,106.5
Comarques Gironines,11318045,15.4,87.8
Camp de Tarragona,7930439,15.2,87.2
Terres de l'Ebre,2414705,13.5,77.4
Ponent,5360095,15.0,85.6
Comarques Centrals,6629739,16.8,95.8
Alt Pirineu i Aran,1054046,14.7,84.2
Penedès,7716769,16.1,92.2

