"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2011
Font: Idescat. Renda familiar disponible bruta territorial.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201100
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,653517,14.5,87.2
Alt Empordà,1746263,12.6,75.6
Alt Penedès,1708519,16.2,97.1
Alt Urgell,279180,13.1,78.3
Alta Ribagorça,61003,14.5,87.1
Anoia,1767476,14.9,89.6
Aran,136749,13.6,81.5
Bages,2848845,16.1,96.8
Baix Camp,2722478,14.2,85.3
Baix Ebre,1022158,12.5,75.1
Baix Empordà,1810666,13.7,82.3
Baix Llobregat,13831149,17.3,103.7
Baix Penedès,1396048,13.9,83.4
Barcelonès,42526383,19.0,114.0
Berguedà,660022,16.0,95.9
Cerdanya,255267,13.6,81.9
Conca de Barberà,303210,14.4,86.3
Garraf,2349624,16.2,97.3
Garrigues,262835,13.1,78.5
Garrotxa,873891,15.8,94.7
Gironès,2822581,15.5,93.1
Maresme,7156159,16.5,99.0
Moianès,206144,15.9,95.4
Montsià,829905,11.6,69.9
Noguera,513819,12.9,77.3
Osona,2412377,15.7,94.3
Pallars Jussà,196533,13.9,83.5
Pallars Sobirà,100917,13.6,81.9
Pla d'Urgell,500466,13.5,81.2
Pla de l'Estany,486785,15.6,93.7
Priorat,128156,12.9,77.4
Ribera d'Ebre,335375,14.4,86.2
Ripollès,426325,16.2,97.4
Segarra,318336,13.7,82.4
Segrià,3017490,14.6,87.6
Selva,2230110,13.1,78.7
Solsonès,187022,13.6,81.8
Tarragonès,3639678,14.6,87.7
Terra Alta,157628,12.5,75.2
Urgell,496787,13.4,80.7
Vallès Occidental,15264529,17.1,102.6
Vallès Oriental,6490704,16.4,98.4
Catalunya,125133109,16.7,100.0
Metropolità,85331011,17.9,107.5
Comarques Gironines,10396621,14.1,84.8
Camp de Tarragona,7447039,14.4,86.5
Terres de l'Ebre,2345065,12.4,74.5
Ponent,5109734,14.0,84.3
Comarques Centrals,6252323,15.9,95.2
Alt Pirineu i Aran,1029648,13.6,81.4
Penedès,7221668,15.4,92.3

