"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2016
Font: Idescat. Renda familiar disponible bruta territorial.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201600
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,659496,15.0,88.1
Alt Empordà,1799501,13.2,77.6
Alt Penedès,1689826,15.9,93.8
Alt Urgell,263664,13.0,76.4
Alta Ribagorça,56475,14.7,86.4
Anoia,1753569,14.9,87.6
Aran,138625,14.1,83.2
Bages,2767326,16.0,93.9
Baix Camp,2751495,14.6,85.8
Baix Ebre,995851,12.8,75.2
Baix Empordà,1790830,13.7,80.8
Baix Llobregat,14347276,17.8,104.9
Baix Penedès,1349153,13.5,79.6
Barcelonès,42792694,19.3,113.7
Berguedà,624381,16.0,94.4
Cerdanya,246857,13.9,81.9
Conca de Barberà,297375,14.8,87.0
Garraf,2438877,16.8,99.1
Garrigues,247103,13.0,76.3
Garrotxa,886097,16.1,94.8
Gironès,2931615,16.0,94.5
Maresme,7375248,16.9,99.4
Moianès,201343,15.3,90.2
Montsià,799330,11.8,69.2
Noguera,498208,13.0,76.4
Osona,2539509,16.5,97.0
Pallars Jussà,177519,13.5,79.6
Pallars Sobirà,93405,13.5,79.7
Pla d'Urgell,496365,13.5,79.4
Pla de l'Estany,497757,15.8,93.1
Priorat,125156,13.5,79.3
Ribera d'Ebre,316769,14.4,84.8
Ripollès,411947,16.5,97.2
Segarra,306745,13.7,80.8
Segrià,3038758,14.9,87.5
Selva,2263769,13.7,80.4
Solsonès,178423,13.3,78.2
Tarragonès,3730066,14.9,87.8
Terra Alta,149268,12.9,75.9
Urgell,483676,13.5,79.4
Vallès Occidental,15746989,17.4,102.5
Vallès Oriental,6655516,16.6,97.9
Catalunya,126913853,17.0,100.0
Metropolità,86979129,18.2,107.4
Comarques Gironines,10581516,14.6,85.7
Camp de Tarragona,7563588,14.8,86.9
Terres de l'Ebre,2261219,12.6,74.2
Ponent,5070856,14.2,83.6
Comarques Centrals,6249576,16.1,94.5
Alt Pirineu i Aran,976545,13.6,80.1
Penedès,7231426,15.4,90.9

