"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2019
Font: Idescat. Renda familiar disponible bruta territorial.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201900
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,720050,16.1,88.4
Alt Empordà,2033739,14.7,80.4
Alt Penedès,1837790,16.9,92.4
Alt Urgell,293861,14.6,80.2
Alta Ribagorça,61519,16.0,87.9
Anoia,1963393,16.1,88.3
Aran,169420,16.9,92.8
Bages,3091028,17.4,95.2
Baix Camp,3066606,15.8,86.8
Baix Ebre,1121307,14.5,79.3
Baix Empordà,2036305,15.3,84.0
Baix Llobregat,15572754,18.9,103.7
Baix Penedès,1582558,15.0,82.0
Barcelonès,46642944,20.5,112.2
Berguedà,681895,17.2,94.5
Cerdanya,286947,15.7,86.3
Conca de Barberà,327068,16.5,90.4
Garraf,2769436,18.6,102.0
Garrigues,271033,14.3,78.5
Garrotxa,1000972,17.6,96.3
Gironès,3350978,17.6,96.7
Maresme,8289182,18.4,101.0
Moianès,235159,17.2,94.5
Montsià,906728,13.2,72.3
Noguera,550361,14.3,78.6
Osona,2832413,17.7,96.9
Pallars Jussà,195842,15.1,82.7
Pallars Sobirà,107261,15.5,85.2
Pla d'Urgell,556872,15.0,82.2
Pla de l'Estany,549381,17.0,93.4
Priorat,137622,15.0,82.4
Ribera d'Ebre,328059,15.2,83.2
Ripollès,440048,17.6,96.5
Segarra,336134,14.8,81.1
Segrià,3324871,16.0,87.9
Selva,2553827,15.0,82.5
Solsonès,209235,15.3,83.8
Tarragonès,4113441,15.8,86.8
Terra Alta,166211,14.7,80.6
Urgell,544760,14.8,81.4
Vallès Occidental,17263226,18.6,101.8
Vallès Oriental,7382905,18.0,98.5
Catalunya,139905144,18.2,100.0
Metropolità,95222293,19.4,106.6
Comarques Gironines,11965252,16.0,88.0
Camp de Tarragona,8364787,15.9,87.0
Terres de l'Ebre,2522305,14.1,77.2
Ponent,5584031,15.5,84.7
Comarques Centrals,6978447,17.4,95.4
Alt Pirineu i Aran,1114850,15.5,84.9
Penedès,8153178,16.8,92.0

