Renda familiar disponible bruta (RFDB). Índex. Comarques i àmbits
2005
Font: Idescat.
Nota: Base 2000.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=200500
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant
Alt Camp,596504,14.7,98.7
Alt Empordà,1875004,15.4,103.6
Alt Penedès,1364592,14.4,96.3
Alt Urgell,300604,14.2,95.6
Alta Ribagorça,63515,15.7,105.5
Anoia,1464947,13.7,91.6
Bages,2476478,14.5,97.1
Baix Camp,2476703,14.5,97.4
Baix Ebre,1093870,14.5,97.0
Baix Empordà,1833270,15.0,100.7
Baix Llobregat,10204523,13.4,89.8
Baix Penedès,1200858,14.5,97.3
Barcelonès,34718175,15.6,104.9
Berguedà,591995,14.8,99.6
Cerdanya,284519,16.7,112.0
Conca de Barberà,314388,15.5,104.3
Garraf,1887305,14.5,97.0
Garrigues,309060,15.5,103.7
Garrotxa,839028,16.0,107.6
Gironès,2697307,16.5,110.7
Maresme,6194962,15.3,102.9
Montsià,912132,14.1,94.5
Noguera,558218,14.7,98.6
Osona,2051671,14.2,95.6
Pallars Jussà,206471,16.4,109.9
Pallars Sobirà,116810,16.7,112.4
Pla d'Urgell,492894,14.7,98.3
Pla de l'Estany,453927,16.1,107.9
Priorat,143798,14.8,99.2
Ribera d'Ebre,335410,14.6,97.9
Ripollès,437963,16.6,111.4
Segarra,306574,14.3,96.2
Segrià,2831345,15.3,102.4
Selva,2117967,14.3,96.1
Solsonès,192851,14.9,100.3
Tarragonès,3225054,14.8,99.5
Terra Alta,194153,15.3,102.4
Urgell,558703,16.3,109.1
Val d'Aran,174161,18.6,124.5
Vallès Occidental,11961422,14.5,97.2
Vallès Oriental,5219919,14.2,95.6
Catalunya,105279050,14.9,100.0
Metropolità,71550898,14.9,99.9
Comarques Gironines,10254466,15.5,104.0
Camp de Tarragona,7957305,14.7,98.6
Terres de l'Ebre,2535565,14.4,96.6
Ponent,5056794,15.2,101.9
Comarques Centrals,6777942,14.3,95.7
Alt Pirineu i Aran,1146080,16.1,108.1

