Country,Year,Life expectancy,GDP,Population,Continent
Liechtenstein,2018,82.351,,37918.0,Europe
Lithuania,2018,75.737,27370.5548,2801270.0,Europe
Luxembourg,2018,82.102,57427.5003,604244.0,Europe
Macao,2018,84.118,,631633.0,Asia
Madagascar,2018,66.681,1427.6004,26262313.0,Africa
Malawi,2018,63.798,1116.6402,18143215.0,Africa
Malaysia,2018,75.997,24842.3559,31528033.0,Asia
Maldives,2018,78.627,,515703.0,Asia
Mali,2018,58.893,1667.2951,19077755.0,Africa
Malta,2018,82.376,32028.9124,439255.0,Europe
Marshall Islands,2018,73.496,,58412.0,Oceania
Martinique,2018,82.359,,375672.0,North America
Mauritania,2018,64.704,3457.515,4403312.0,Africa
Mauritius,2018,74.863,20138.5723,1267184.0,Africa
Mayotte,2018,79.417,,259526.0,Africa
Mexico,2018,74.992,16494.079,126190782.0,North America
Micronesia (country),2018,67.755,,112640.0,Oceania
Moldova,2018,71.808,6746.7285,4051950.0,Europe
Monaco,2018,86.56,,38682.0,Europe
Mongolia,2018,69.689,13382.5423,3170214.0,Asia
Montenegro,2018,76.77,19504.1588,627803.0,Europe
Montserrat,2018,74.388,,4993.0,North America
Morocco,2018,76.453,8451.1355,36029089.0,Africa
Mozambique,2018,60.163,1132.7709,29496009.0,Africa
Myanmar,2018,66.867,5838.2173,53708318.0,Asia
Namibia,2018,63.373,9043.1202,2448300.0,Africa
Nauru,2018,59.863,,10678.0,Oceania
Nepal,2018,70.478,2727.4238,28095712.0,Asia
Netherlands,2018,82.143,47474.1095,17059560.0,Europe
New Caledonia,2018,77.374,,279986.0,Oceania
New Zealand,2018,82.145,35336.1363,4743131.0,Oceania
Nicaragua,2018,74.275,4952.4772,6465502.0,North America
Niger,2018,62.024,964.6601,22442831.0,Africa
Nigeria,2018,54.332,5237.6623,195874685.0,Africa
Niue,2018,73.567,,1610.0,Oceania
North Korea,2018,72.095,1596.3517,25549606.0,Asia
North Macedonia,2018,75.688,13074.2313,2082956.0,Europe
Northern Mariana Islands,2018,76.44,,56889.0,Oceania
Norway,2018,82.271,84580.1362,5337960.0,Europe
Oman,2018,77.633,36477.6365,4829476.0,Asia
Pakistan,2018,67.114,5510.3967,212228288.0,Asia
Palau,2018,73.524,,17911.0,Oceania
Palestine,2018,73.895,5207.7569,4862978.0,Asia
Panama,2018,78.329,22637.1482,4176868.0,North America
Papua New Guinea,2018,64.263,,8606324.0,Oceania
Paraguay,2018,74.131,9338.9484,6956069.0,South America
Peru,2018,76.516,12310.0847,31989265.0,South America
Philippines,2018,71.095,8139.1395,106651394.0,Asia
Poland,2018,78.544,27455.237,37921585.0,Europe
Portugal,2018,81.857,27035.6002,10256192.0,Europe
Puerto Rico,2018,79.952,35076.2933,3039598.0,North America
Qatar,2018,80.1,153764.1643,2781682.0,Asia
Reunion,2018,80.247,,882531.0,Africa
Romania,2018,75.924,20126.2922,19506110.0,Europe
Russia,2018,72.386,24668.9079,145734034.0,Europe
Rwanda,2018,68.7,1929.2851,12301969.0,Africa
Saint Barthlemy,2018,81.82,,9824.0,North America
Saint Helena,2018,80.422,,6039.0,Africa
Saint Kitts and Nevis,2018,76.075,,52438.0,North America
Saint Lucia,2018,76.057,10475.3689,181890.0,North America
Saint Martin (French part),2018,81.86,,37264.0,North America
Saint Pierre and Miquelon,2018,80.921,,5845.0,North America
Saint Vincent and the Grenadines,2018,72.415,,110210.0,North America
Samoa,2018,73.187,,196128.0,Oceania
San Marino,2018,84.841,,33784.0,Europe
Sao Tome and Principe,2018,70.17,3730.2045,211032.0,Africa
Saudi Arabia,2018,74.998,50304.7502,33702757.0,Asia
Senegal,2018,67.665,2617.1244,15854324.0,Africa
Serbia,2018,75.849,14124.1177,8802741.0,Europe
Seychelles,2018,73.333,29531.0612,97094.0,Africa
Sierra Leone,2018,54.309,1683.8497,7650149.0,Africa
Singapore,2018,83.458,68402.3451,5757503.0,Asia
Sint Maarten (Dutch part),2018,78.794,,41936.0,North America
Slovakia,2018,77.388,27075.5344,5453017.0,Europe
Slovenia,2018,81.172,29244.9198,2077835.0,Europe
Solomon Islands,2018,72.835,,652856.0,Oceania
Somalia,2018,57.068,,15008225.0,Africa
South Africa,2018,63.857,12165.7948,57792520.0,Africa
South Korea,2018,82.846,37927.6095,51171700.0,Asia
South Sudan,2018,57.604,,10975924.0,Africa
Spain,2018,83.433,31496.52,46692863.0,Europe
Sri Lanka,2018,76.812,11662.9064,21228760.0,Asia
Sudan,2018,65.095,3379.5957,41801532.0,Africa
Suriname,2018,71.57,,575987.0,South America
Sweden,2018,82.654,45541.8921,9971630.0,Europe
Switzerland,2018,83.63,61372.7301,8525614.0,Europe
Syria,2018,71.779,3349.4597,16945062.0,Asia
Taiwan,2018,80.283,44663.8642,23726460.0,Asia
Tajikistan,2018,70.879,4440.3819,9100847.0,Asia
Tanzania,2018,65.015,2874.9629,56313444.0,Africa
Thailand,2018,76.931,16648.6237,69428454.0,Asia
Timor,2018,69.26,,1267975.0,Asia
Togo,2018,60.76,1451.3609,7889095.0,Africa
Tokelau,2018,81.67,,1318.0,Oceania
Tonga,2018,70.801,,103199.0,Oceania
Trinidad and Tobago,2018,73.38,28549.4083,1389841.0,North America
Tunisia,2018,76.505,11353.8865,11565203.0,Africa
Turkey,2018,77.437,19270.2202,82340090.0,Asia
Turkmenistan,2018,68.073,26318.366,5850902.0,Asia
Turks and Caicos Islands,2018,80.048,,37667.0,North America
Tuvalu,2018,67.348,,11505.0,Oceania
Uganda,2018,62.973,2045.4203,42729032.0,Africa
Ukraine,2018,71.953,9813.3637,44246158.0,Europe
United Arab Emirates,2018,77.814,76397.8181,9630966.0,Asia
United Kingdom,2018,81.236,38058.0856,67141678.0,Europe
United States,2018,78.851,55334.7394,327096263.0,North America
United States Virgin Islands,2018,80.421,,104672.0,North America
Uruguay,2018,77.77,20185.836,3449290.0,South America
Uzbekistan,2018,71.573,11220.3702,32476232.0,Asia
Vanuatu,2018,70.323,,292675.0,Oceania
Vatican,2018,74.94,,810.0,Europe
Venezuela,2018,72.128,10709.9506,28887117.0,South America
Vietnam,2018,75.317,6814.1423,95545959.0,Asia
Wallis and Futuna,2018,79.767,,11653.0,Oceania
Western Sahara,2018,70.017,,567396.0,Africa
Yemen,2018,66.096,2284.8899,28498683.0,Asia
Zambia,2018,63.51,3534.0337,17351714.0,Africa
Zimbabwe,2018,61.195,1611.4052,14438812.0,Africa
