Comarca,Any,Preu mitjà lloguer,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,RFDB per habitant - Mensual
Alta Ribagorça,2007,381.25,73778,17500.0,107.0,1458.33
Baix Ebre,2007,364.3704141299909,1239696,15500.0,95.1,1291.67
Bages,2007,444.2996726220911,2863033,16000.0,98.0,1333.33
Anoia,2007,423.938802242939,1713464,15100.0,92.8,1258.33
Alt Urgell,2007,422.5945687500002,343317,15800.0,96.8,1316.67
Alt Penedès,2007,513.3075448474361,1632647,16300.0,99.8,1358.33
Alt Empordà,2007,484.22593641145374,2205472,16700.0,102.2,1391.67
Alt Camp,2007,431.8760006802724,679454,15700.0,96.0,1308.33
Garrotxa,2007,394.3482203740247,938921,17400.0,106.6,1450.0
Baix Empordà,2007,545.2570317312767,2096032,16300.0,99.9,1358.33
Gironès,2007,550.6425076575201,2983844,17300.0,106.1,1441.67
Vallès Oriental,2007,595.8266271586858,5961955,15600.0,95.7,1300.0
Montsià,2007,371.6169183458037,1061199,15300.0,93.7,1275.0
Maresme,2007,635.4875004321914,7104866,17000.0,104.4,1416.67
Vallès Occidental,2007,649.8162892601651,13623220,15900.0,97.8,1325.0
Val d'Aran,2007,551.1152263374485,203744,20400.0,124.9,1700.0
Urgell,2007,360.629439078014,648651,18300.0,111.9,1525.0
Terra Alta,2007,274.2857285714286,219586,17200.0,105.2,1433.33
Tarragonès,2007,486.7928089401126,3764351,15900.0,97.6,1325.0
Selva,2007,486.8806717212035,2465142,15300.0,93.8,1275.0
Segrià,2007,422.20794924466514,3382099,17400.0,106.9,1450.0
Segarra,2007,363.9999950000002,373850,17000.0,104.1,1416.67
Solsonès,2007,340.80227622950804,233726,17300.0,105.8,1441.67
Ribera d'Ebre,2007,372.849403030303,367762,15600.0,95.6,1300.0
Ripollès,2007,358.93801384615386,474146,17800.0,108.9,1483.33
Osona,2007,465.2848909165456,2331997,15700.0,96.2,1308.33
Pallars Jussà,2007,382.2181909090911,240742,17700.0,108.6,1475.0
Pallars Sobirà,2007,461.8181636363636,136832,18700.0,114.6,1558.33
Noguera,2007,336.95428571428573,661376,16900.0,103.8,1408.33
Pla d'Urgell,2007,391.34213026103777,588238,16600.0,101.5,1383.33
Priorat,2007,357.4958823529412,161729,16500.0,100.9,1375.0
Pla de l'Estany,2007,533.0581819148936,498649,17000.0,104.4,1416.67
Barcelonès,2008,789.2873183418538,40527838,18200.0,104.6,1516.67
Garrotxa,2008,436.5116647271633,980859,18100.0,104.2,1508.33
Garrigues,2008,365.0807190877191,354300,17900.0,102.8,1491.67
Garraf,2008,714.9562185003639,2376124,17100.0,98.4,1425.0
Conca de Barberà,2008,466.5818855555555,376778,18000.0,103.6,1500.0
Cerdanya,2008,646.1877069982623,330037,18600.0,106.6,1550.0
Berguedà,2008,422.14413849898506,704870,17000.0,97.9,1416.67
Baix Penedès,2008,566.6252177593371,1628075,17200.0,99.0,1433.33
Gironès,2008,568.9961611059032,3190606,18400.0,105.5,1533.33
Baix Empordà,2008,578.090305391428,2225954,17400.0,100.2,1450.0
Baix Ebre,2008,397.47016853835726,1325931,16400.0,94.5,1366.67
Bages,2008,480.6035667677052,3047232,16900.0,97.2,1408.33
Anoia,2008,499.3277181681919,1809517,15800.0,90.7,1316.67
Alta Ribagorça,2008,429.99998,77567,18400.0,105.8,1533.33
Alt Urgell,2008,457.8726253846156,348646,16600.0,95.2,1383.33
Alt Penedès,2008,553.1288371121944,1745009,17000.0,97.5,1416.67
Alt Empordà,2008,508.74906882605256,2311294,17600.0,101.0,1466.67
Baix Llobregat,2008,744.2857019973566,12454414,16100.000000000002,92.4,1341.67
Maresme,2008,673.5412855676856,7476634,17900.0,102.7,1491.67
Alt Camp,2008,472.0578663545548,750652,17200.0,98.6,1433.33
Noguera,2008,398.0281162162162,667201,17300.0,99.4,1441.67
Montsià,2008,399.70443780487807,1157661,16600.0,95.6,1383.33
Vallès Occidental,2008,683.108866435723,14667407,17200.0,98.7,1433.33
Val d'Aran,2008,582.7197721354169,202065,20600.0,118.4,1716.67
Urgell,2008,385.1378469879517,659156,18500.0,106.3,1541.67
Terra Alta,2008,341.2500125,220385,17200.0,98.6,1433.33
Vallès Oriental,2008,620.7779481765342,6195393,16100.000000000002,92.6,1341.67
Solsonès,2008,336.1981904388716,234357,17100.0,98.0,1425.0
Selva,2008,518.7655890209071,2641230,16500.0,94.9,1375.0
Segrià,2008,450.2023596826797,3558145,18100.0,103.7,1508.33
Tarragonès,2008,533.5901626751707,4260163,17900.0,102.7,1491.67
Ripollès,2008,375.3113047536659,486281,18300.0,105.2,1525.0
Ribera d'Ebre,2008,392.9127452840911,401312,17500.0,100.3,1458.33
Priorat,2008,390.58333333333326,168767,17400.0,99.9,1450.0
Pla d'Urgell,2008,412.92083484848496,612736,17100.0,98.4,1425.0
Pla de l'Estany,2008,575.3095364685003,526883,17900.0,102.9,1491.67
Pallars Sobirà,2008,443.335196296296,138645,18800.0,108.3,1566.67
Pallars Jussà,2008,355.6153961538461,249570,19100.0,110.0,1591.67
Osona,2008,513.2407109887242,2444946,16300.0,93.4,1358.33
Segarra,2008,424.25938787878783,381966,17100.0,98.3,1425.0
Baix Penedès,2009,519.7340928374578,1663745,17200.0,98.8,1433.33
Barcelonès,2009,765.1437869171974,40902619,18300.0,105.0,1525.0
Berguedà,2009,400.5004258439762,714848,17200.0,98.7,1433.33
Garrigues,2009,363.2375034974533,356115,18000.0,103.0,1500.0
Conca de Barberà,2009,416.8890279527559,397255,18900.0,108.3,1575.0
Garraf,2009,674.7821599563877,2386994,16900.0,97.1,1408.33
Cerdanya,2009,567.6331357665877,328187,18500.0,106.1,1541.67
Baix Llobregat,2009,702.6694527600819,12535277,16000.0,91.7,1333.33
Alt Camp,2009,445.2388778606965,773270,17400.0,100.1,1450.0
Baix Ebre,2009,387.6777111270975,1352963,16800.0,96.5,1400.0
Bages,2009,455.61965753891474,3079385,16900.0,97.0,1408.33
Anoia,2009,466.2499330178725,1836280,15800.0,90.5,1316.67
Alta Ribagorça,2009,402.14284285714285,77892,18400.0,105.7,1533.33
Alt Urgell,2009,439.7360325966851,348624,16500.0,94.8,1375.0
Alt Penedès,2009,524.2119851464845,1763981,16900.0,97.0,1408.33
Alt Empordà,2009,496.9489066361325,2300197,17200.0,98.6,1433.33
Garrotxa,2009,424.9664892210472,1006972,18400.0,105.8,1533.33
Baix Empordà,2009,531.020123733179,2272945,17600.0,101.0,1466.67
Gironès,2009,538.1773164308636,3269436,18500.0,106.3,1541.67
Ripollès,2009,392.0112238636364,502676,19000.0,109.0,1583.33
Montsià,2009,364.3777122432869,1190788,16900.0,97.2,1408.33
Maresme,2009,651.6767911153743,7523151,17700.0,101.8,1475.0
Vallès Occidental,2009,643.6653282235195,14971305,17300.0,99.1,1441.67
Val d'Aran,2009,597.946503030303,198276,20200.0,115.8,1683.33
Urgell,2009,369.9801846666666,678754,18800.0,108.0,1566.67
Terra Alta,2009,330.0000076923077,225345,17500.0,100.5,1458.33
