Comarca,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,Any
Cerdanya,282491,15.1,85.8,2020
Conca de Barberà,322846,16.2,92.4,2020
Garraf,2723506,18.0,102.6,2020
Garrigues,267865,14.1,80.2,2020
Garrotxa,972592,16.8,95.9,2020
Gironès,3209307,16.7,95.4,2020
Maresme,8115522,17.9,101.8,2020
Moianès,232748,16.7,95.0,2020
Montsià,897303,12.9,73.7,2020
Noguera,534033,13.8,78.8,2020
Osona,2800744,17.3,98.4,2020
Pallars Jussà,192281,14.8,84.1,2020
Pallars Sobirà,102749,14.7,83.6,2020
Pla d'Urgell,568558,15.2,86.6,2020
Pla de l'Estany,554227,17.0,97.0,2020
Priorat,134227,14.6,83.3,2020
Ribera d'Ebre,328489,15.2,86.5,2020
Ripollès,430215,17.1,97.2,2020
Segarra,336160,14.7,83.5,2020
Segrià,3282043,15.7,89.6,2020
Selva,2549137,14.8,84.6,2020
Solsonès,202723,14.7,83.6,2020
Tarragonès,3978875,15.1,86.1,2020
Terra Alta,157751,14.0,79.6,2020
Urgell,538489,14.5,82.7,2020
Vallès Occidental,16961318,18.1,103.1,2020
Vallès Oriental,7307872,17.6,100.4,2020
