Comarca,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,Any
Osona,2444946,16.3,93.4,2008
Pallars Jussà,249570,19.1,110.0,2008
Pallars Sobirà,138645,18.8,108.3,2008
Pla d'Urgell,612736,17.1,98.4,2008
Pla de l'Estany,526883,17.9,102.9,2008
Priorat,168767,17.4,99.9,2008
Ribera d'Ebre,401312,17.5,100.3,2008
Ripollès,486281,18.3,105.2,2008
Segarra,381966,17.1,98.3,2008
Segrià,3558145,18.1,103.7,2008
Selva,2641230,16.5,94.9,2008
Solsonès,234357,17.1,98.0,2008
Tarragonès,4260163,17.9,102.7,2008
Terra Alta,220385,17.2,98.6,2008
Urgell,659156,18.5,106.3,2008
Val d'Aran,202065,20.6,118.4,2008
Vallès Occidental,14667407,17.2,98.7,2008
Vallès Oriental,6195393,16.1,92.6,2008
Alt Camp,773270,17.4,100.1,2009
Alt Empordà,2300197,17.2,98.6,2009
Alt Penedès,1763981,16.9,97.0,2009
Alt Urgell,348624,16.5,94.8,2009
Alta Ribagorça,77892,18.4,105.7,2009
Anoia,1836280,15.8,90.5,2009
Bages,3079385,16.9,97.0,2009
Baix Camp,3153797,16.9,97.1,2009
Baix Ebre,1352963,16.8,96.5,2009
Baix Empordà,2272945,17.6,101.0,2009
Baix Llobregat,12535277,16.0,91.7,2009
Baix Penedès,1663745,17.2,98.8,2009
Barcelonès,40902619,18.3,105.0,2009
Berguedà,714848,17.2,98.7,2009
Cerdanya,328187,18.5,106.1,2009
Conca de Barberà,397255,18.9,108.3,2009
Garraf,2386994,16.9,97.1,2009
Garrigues,356115,18.0,103.0,2009
Garrotxa,1006972,18.4,105.8,2009
Gironès,3269436,18.5,106.3,2009
Maresme,7523151,17.7,101.8,2009
Montsià,1190788,16.9,97.2,2009
Noguera,677828,17.4,100.0,2009
Osona,2465648,16.2,93.0,2009
Pallars Jussà,253579,19.3,110.4,2009
Pallars Sobirà,139524,18.7,107.5,2009
Pla d'Urgell,620529,17.0,97.6,2009
Pla de l'Estany,554549,18.5,106.1,2009
Priorat,178581,18.2,104.5,2009
Ribera d'Ebre,420384,18.2,104.2,2009
Ripollès,502676,19.0,109.0,2009
Segarra,392484,17.3,99.4,2009
Segrià,3624364,18.1,103.6,2009
Selva,2634068,16.1,92.5,2009
Solsonès,236822,17.3,99.0,2009
Tarragonès,4353872,17.9,102.8,2009
Terra Alta,225345,17.5,100.5,2009
Urgell,678754,18.8,108.0,2009
Val d'Aran,198276,20.2,115.8,2009
Vallès Occidental,14971305,17.3,99.1,2009
Vallès Oriental,6302188,16.2,92.8,2009
Alt Camp,652392,14.5,86.5,2010
Alt Empordà,1800807,13.0,77.6,2010
Alt Penedès,1716074,16.4,97.5,2010
Alt Urgell,285574,13.2,78.6,2010
Alta Ribagorça,64835,15.3,91.1,2010
Anoia,1749742,14.8,88.3,2010
Aran,139822,13.8,82.5,2010
Bages,2795609,15.9,94.6,2010
Baix Camp,2761233,14.5,86.5,2010
Baix Ebre,1065257,13.0,77.7,2010
Baix Empordà,1847052,14.0,83.6,2010
Baix Llobregat,13659727,17.2,102.2,2010
Baix Penedès,1403851,14.1,84.0,2010
Barcelonès,42648230,19.1,113.5,2010
Berguedà,648885,15.6,93.1,2010
Cerdanya,261182,14.2,84.4,2010
Conca de Barberà,307526,14.5,86.5,2010
Garraf,2382760,16.6,98.7,2010
Garrigues,265873,13.2,78.6,2010
