Comarca,Any,Preu mitjà lloguer
Baix Empordà,2018,525.0260584588133
Baix Llobregat,2018,743.1465514905151
Baix Penedès,2018,500.6767988929889
Barcelonès,2018,876.6369888301899
Berguedà,2018,344.3909915014164
Cerdanya,2018,510.9765697674418
Conca de Barberà,2018,368.3236286919831
Garraf,2018,750.7249225526642
Garrigues,2018,334.52469613259666
Garrotxa,2018,425.0291907514451
Gironès,2018,577.0115710679614
Maresme,2018,693.5333448450987
Moianès,2018,460.6255298013245
Montsià,2018,310.3033973589435
Noguera,2018,330.7748118811881
Osona,2018,478.8977266797132
Pallars Jussà,2018,315.31728205128206
Pallars Sobirà,2018,330.8271739130435
Pla de l'Estany,2018,510.5266924564798
Pla d'Urgell,2018,349.87911711711706
Priorat,2018,375.98333333333335
Ribera d'Ebre,2018,308.9931891891892
Ripollès,2018,386.7086301369863
Segarra,2018,321.0762209302326
Segrià,2018,423.02026223217115
Selva,2018,488.3268055130167
Solsonès,2018,321.3581962025317
Tarragonès,2018,504.0866097738878
Terra Alta,2018,301.4223404255319
Urgell,2018,336.8869629629629
Val d'Aran,2018,525.9927184466019
Vallès Occidental,2018,686.2962644967979
Vallès Oriental,2018,630.2055745620083
Alt Camp,2017,392.2907906295754
Alt Empordà,2017,468.0934467686544
Alt Penedès,2017,495.79604568527924
Alt Urgell,2017,370.4187630662021
Alta Ribagorça,2017,353.80434782608694
Anoia,2017,433.267040431267
Bages,2017,392.1413885778276
Baix  Camp,2017,428.37130762782897
Baix Ebre,2017,337.90902053712483
Baix Empordà,2017,490.74743333333333
Baix Llobregat,2017,702.7329237036408
Baix Penedès,2017,462.6216257187664
Barcelonès,2017,826.4591344338066
Berguedà,2017,330.01630792227206
Cerdanya,2017,507.8993176972281
Conca de Barberà,2017,347.194367816092
Garraf,2017,711.5040167504185
Garrigues,2017,325.49446666666665
Garrotxa,2017,405.3964036544851
Gironès,2017,534.1902897933102
Maresme,2017,645.4007025838371
Moianès,2017,453.21519298245613
Montsià,2017,291.60584595959597
Noguera,2017,317.86927855711417
Osona,2017,450.78022178086707
Pallars Jussà,2017,304.0196153846154
Pallars Sobirà,2017,321.3813821138212
Pla de l'Estany,2017,474.94650000000007
Pla d'Urgell,2017,354.5293992248062
Priorat,2017,368.85840707964604
Ribera d'Ebre,2017,296.29411764705884
Ripollès,2017,363.25264102564097
Segarra,2017,309.01626984126983
Segrià,2017,401.81659743433113
Selva,2017,455.8641880898143
Solsonès,2017,329.84814977973565
Tarragonès,2017,470.0800756564309
Terra Alta,2017,306.6
Urgell,2017,314.7171308016878
Val d'Aran,2017,537.8167605633803
Vallès Occidental,2017,640.0715421776299
Vallès Oriental,2017,590.8888225386614
Alt Camp,2016,381.7902900763359
Alt Empordà,2016,450.894359974009
Alt Penedès,2016,453.1879265658748
Alt Urgell,2016,365.9813378684807
Alta Ribagorça,2016,370.9981395348837
Anoia,2016,395.68435492651065
Bages,2016,366.4095819014893
Baix  Camp,2016,413.05121550041815
Baix Ebre,2016,328.35155214227973
Baix Empordà,2016,468.3507454289732
Baix Llobregat,2016,650.5917800802763
Baix Penedès,2016,435.1814346439957
Barcelonès,2016,751.5440345434241
Berguedà,2016,316.0302495840266
Cerdanya,2016,487.42080679405524
Conca de Barberà,2016,328.0716049382716
Garraf,2016,647.1073619157977
Garrigues,2016,289.82
Garrotxa,2016,373.5172010628875
Gironès,2016,497.35615640968746
Maresme,2016,596.1334502991261
Moianès,2016,432.39138576779027
Montsià,2016,289.01937869822484
